评论ID,用户名,评论内容,点赞数,回复时间,父评论ID
266751777552,bd1k,我就不一样了 每次刷到我就复制评论一下[星星眼],0,202506-26 16:07:26,0
265674112961,悠梦stardust,太带派了[星星眼],0,202506-26 15:51:50,0
265673245761,CN幻灵星羽,我真服了,0,202506-26 15:39:05,0
265673138497,没有名字-_-____---,国际版朋友圈没广告,0,202506-26 15:37:03,0
265673074177,啸今天打算学什么,精彩,0,202506-26 15:35:55,0
266749118064,AAA红头罩粉丝团团长,那个卸螺丝的我愣生生是玩到六十来关，感觉自己🧠多少是沾点什么[笑哭],0,202506-26 15:31:07,0
266747689776,小祈の科技,"还好，自己是PC贵族一员，对手游从来看不上眼。还是我哒原神好玩！原神启动！
【系统提示：因检测到您非法使用第三方客户端/MOD，已封禁3天。】
原神关闭！",0,202506-26 15:08:40,0
266747129232,我要取什么名字才好呢,@hfnhfvr @小匕崽治 @碳化猕猴桃 @傻乎乎根根 @叙利亚传奇前腰徐新 @摩卡味晚秋 原来不是真人发的,0,202506-26 15:00:56,0
266746608656,温情马铃薯,封面看成雨姐了[笑哭],0,202506-26 14:54:07,0
266746384432,法厄同本人_真,@小白云玩游戏,0,202506-26 14:51:55,0
266746188736,Uq9,快去叫白云佛祖,0,202506-26 14:46:42,0
265669796097,流年入樽盏,玉、啊不，钢！,0,202506-26 14:46:21,0
265668542369,海产比名子,其实这东西性质恶劣就恶劣在完完全全告诉你，vx是有能力假装你的亲朋好友在你的亲朋好友未知的情况下发送任何信息，在现在这个诈骗如此猖狂的时间段里真的很难评[藏狐],2,202506-26 14:29:33,0
265668364449,冷寒-漠,@宅king米铃 别笑，你试你也过不了第二关[笑哭],0,202506-26 14:25:35,0
266738702944,SAN门门主,别试，你笑你也过不了第二关。,0,202506-26 13:07:07,0
265662382241,Eisenste-Arsenal,别笑，你也路不了第二关[笑哭],0,202506-26 13:05:32,0
265662318065,希某人丶,我真玩了 还玩了108关[惊讶][惊讶],1,202506-26 13:04:46,0
266740760560,晨曦--暮雪,不嘻嘻,1,202506-26 13:31:46,265662318065
265662164849,Duang炖糕,苏幽离是什么梗[哦呼],1,202506-26 13:02:10,0
265665302465,陨梦浮星,soyorin的谐音,0,202506-26 13:40:43,265662164849
266738007536,爱门首席头子,但是实际上根本不行，因为大部分全是随机的，导致不看广告修改螺丝位置不可能过关（需要的螺丝拿不出钱）,2,202506-26 12:58:03,0
266745638000,EmiliaQAO,我过过[doge],0,202506-26 14:38:30,266738007536
265660139953,勿瑕只玉,那真是猪猡才能想出来的营销方式,1,202506-26 12:41:15,0
266735407712,何潤,原来是自动发吗？我发现这东西之后还叫了好几个人一起发[真正的音乐_无语],0,202506-26 12:32:54,0
265657541361,我是懵昕,999我有沈腾好友[笑哭],0,202506-26 12:13:35,0
266733448944,拓鸠时雨,并非拆螺丝，是折螺丝[笑哭],1,202506-26 12:11:04,0
265657111009,挽青笙尽l,别笑，你也过不了第二关,1,202506-26 12:10:07,0
265657069809,一川空月,别笑，你也过不了第二关[笑哭],0,202506-26 12:08:42,0
266732052496,七奈の蒸汽姬,不是折螺丝吗,0,202506-26 11:58:08,0
265655946369,文良浩广,绷不住了,0,202506-26 11:54:58,0
265655242865,Murasame_yohuu,为什么会有这个[疑惑],0,202506-26 11:47:20,0
266730262640,rRR-3,玉,0,202506-26 11:35:57,0
265654283377,遗逝阴冥,🤡,2,202506-26 11:35:48,0
266728641520,-该昵称已存在-_-_,憋笑[笑哭],0,202506-26 11:14:05,0
266727381504,乐乐鸭脖,😂,0,202506-26 10:57:34,0
265651376833,宝可梦の勾史,别二，你也笑不了第过关[笑哭],0,202506-26 10:56:02,0
265647578689,2019的庆典季,这种广告点进去我都是在评论骂的）,1,202506-26 10:01:04,0
266721570752,Nyuubyu,烂梗,0,202506-26 09:32:55,0
266720439088,一只嘤酱,别笑，你试你也懒得打开[捂脸]统一回复：目前能过第二关的人只有3个~谁能过了第2关我就服她！已玩，已老实 [捂脸]你厉害你来把第二关过了别笑，你试你也过不了第二关[捂脸],0,202506-26 09:13:52,0
265644732705,喜欢温水佳树,这个能不能算梗一堆人在这下面发下一集接上硬生生在b站看完全集,0,202506-26 09:13:49,0
266718447408,柠萌愛,这玩意小游戏多数做的就是不让你过关的，所以没必要去点看看,0,202506-26 08:41:34,0
265641349233,REVE_O,蚌埠住了[笑哭][笑哭][笑哭],1,202506-26 08:12:04,0
265640595217,meishihuakui,这期疑似拆螺丝暗广哈[笑哭],3,202506-26 07:52:37,0
265640315233,要成为摸鱼糕手,byd这也能当梗，真是没活了吗,0,202506-26 07:46:50,0
265640029329,_Zilty_,我就笑[生气],0,202506-26 07:37:14,0
265637877265,新小男子主义,恰恰相反，你们这些把支配（哪怕是演的）当尊重的人，比那些半吊子还病得深,0,202506-26 06:18:47,0
266712879264,松羽柒,bgm是《胭脂》诶,0,202506-26 05:56:12,0
265636829745,我需要急用配件除颤仪,真信了一个小游戏公司能盗取用户信息伪造评论，甚至还脑补一大堆阴谋论的，建议加我好友，老了卖你保健品[笑哭],0,202506-26 05:10:27,0
265635851329,波奇酱借点钱,但是他写的是“折”螺丝啊[难过],0,202506-26 04:07:42,0
265635674577,烟浅浅w,吸引的都是我们明日方舟玩家,0,202506-26 04:04:14,0
266711109776,啥都想玩的吴穷Player,别笑，你试也路不了第二关,0,202506-26 04:03:10,0
265634929297,凌人漾,别笑，你也🦌不了第二关[笑哭],0,202506-26 03:22:40,0
265634783585,轩丶一,真cs这个广告 直接装好友在下面评论 它凭什么这样 哪来的权限,21,202506-26 03:20:01,0
265636663777,我需要急用配件除颤仪,谁装了，都是你好友玩抽象自己发的，不信自己截图去问他们,1,202506-26 04:59:49,265634783585
265642678929,轩丶一,回复 @我需要急用配件除颤仪 :别搁这抖机灵 我是真的很生气这样的广告,9,202506-26 08:37:05,265636663777
265645230865,登莱水师提督,不是啊你不知道这玩意能评论吗,0,202506-26 09:20:54,265634783585
265645631841,烄防御天赋北国风光゚,回复 @我需要急用配件除颤仪 :有人去世两年的朋友发了怎么说，评论区就有,5,202506-26 09:28:26,265636663777
265645496353,千剑的玉冠,回复 @我需要急用配件除颤仪 :玩抽象自己发的原因就是人机先装的啊,4,202506-26 09:28:29,265636663777
265657544689,AstesiaQAQ,回复 @我需要急用配件除颤仪 :截了，有人自己发的，有人机装的。你不知道我高中老师，五十几的人了发个“捂脸笑[笑哭]，别笑你也过不了第二关”有多滑稽。,0,202506-26 12:13:41,265636663777
266735051024,嘻嘻说说,回复 @我需要急用配件除颤仪 :人机,0,202506-26 12:28:22,265636663777
266710186624,不停喊着Z,还有在广告底下打广告的[辣眼睛],7,202506-26 03:17:04,0
265644013745,赫尔比亚H,6,0,202506-26 09:00:27,266710186624
265647781137,震惊鼠条,别看，你也关不了第二广,0,202506-26 10:03:10,266710186624
266708359744,不会数学的浩哥,别笑，你也鹿不过第二关[笑哭],1,202506-26 02:17:50,0
265631455729,浅龄酒,[doge],0,202506-26 01:40:53,0
265630785041,扰晕,已试，已老实[笑哭],0,202506-26 01:28:37,0
266705167280,丨-狗龙神-丨,依旧带派大脚,2,202506-26 01:09:46,0
265629693713,玩彼的名字,bgm是啥,0,202506-26 01:06:59,0
266704187632,Floweypop,最近在学投流的我看到了这个心情有些复杂🌚,0,202506-26 00:55:28,0
266702605920,不是星语咯,还有打广告的（）,0,202506-26 00:32:40,0
265627368657,舒克不想开坦克,逆天,0,202506-26 00:31:48,0
266700359968,李叔叔LSS,只能证明人类的本质是,0,202506-26 00:03:56,0
266700247840,夏花秋叶----,下期能出子恒么[蹲蹲],0,202506-26 00:02:19,0
265623585729,伊甸园不开花,[来古-注意],1,202506-25 23:47:23,0
265622234529,Polaris-v-,别过，你也关不了第二笑[笑哭],0,202506-25 23:31:40,0
266697280432,兔子去种苹果树,诡异指数六颗星，家里请哈基仙都没用了[笑哭],2,202506-25 23:28:48,0
265631893953,_Tixx,能凑齐这些好友，你家里肯定也请高人了,0,202506-26 01:52:08,266697280432
266695912880,经常错字的幽影,我不能直视山治的腿攻了，救命哈哈哈哈哈哈哈哈,0,202506-25 23:15:48,0
266695362192,wlz的战地薯,那个有颜色的色弱是真的过不了一点,0,202506-25 23:08:49,0
265619702689,被分师的明日香,Ciallo～(∠・ω&lt; )⌒★是什么梗[笑],0,202506-25 23:02:11,0
266693995152,隐匿c,[doge][doge][doge],0,202506-25 22:54:52,0
265618992449,呆毛陆生君_Nisroc,已经给他引流了,1,202506-25 22:54:27,0
265618481665,努力成为王牌的炎兔儿,[笑哭],0,202506-25 22:48:05,0
265618239345,silly沐,哈哈哈哈这是真的！,517,202506-25 22:47:55,0
266694019264,杨叽叽爱滑稽稽,捉！,0,202506-25 22:55:02,265618239345
265621696769,卑碧东荷密,为什么我没有,0,202506-25 23:24:06,265618239345
265624093313,柠柚欸,捉！,0,202506-25 23:51:10,265618239345
266701775760,-3040-,[香奈美·追寻那道光 应援装扮_呜哇],0,202506-26 00:20:37,265618239345
265631805617,浪沫的旋舞-,为什么我没有,0,202506-26 01:49:00,265618239345
265631915313,忆云似幻,[doge]还不休息，战双和鸣潮一个周年庆，一个准备出新角色,0,202506-26 01:53:47,265618239345
265639304833,瘟煣の人,回复 @杨叽叽爱滑稽稽 : 《折》,1,202506-26 07:14:37,266694019264
265654349793,我推的松伦,捉,0,202506-26 11:36:56,265618239345
266692704864,Ref0eity,还有耄耋,0,202506-25 22:41:21,0
266691872192,搜累哇多卡那丶,玩过，其实不算难，比羊那个好一点,1,202506-25 22:31:58,0
265627846049,品客缤,有些游戏会把关卡故意弄成第一次几乎无解，要么看广告要么玩到一半重来，第二次难度直接飙降[辣眼睛],0,202506-26 00:38:22,266691872192
265616055201,破壁人4号Mr_Axe,这不是东北的四十五码大焊脚吗,0,202506-25 22:24:04,0
265613802305,害羞的狗XG,"似乎发现新梗[酸了]
https://b23.tv/BV1zTKNzyE8n",0,202506-25 22:00:41,0
266688685024,Yharim1824,不是折螺丝吗[疑惑],0,202506-25 22:00:21,0
265613581009,秋分y,我每次看到上去就是一个笑你🐴[OK],0,202506-25 21:58:48,0
266688572592,兰大宝先生,ez,0,202506-25 21:58:46,0
265613364833,遐楪,别过，你也关不了第二笑[笑哭],1,202506-25 21:55:37,0
266688825392,里见闪耀,我直接边🦌边笑[Ave Mujica_开心],0,202506-25 22:01:40,265613364833
266687290016,七剑之魔术师,新约能天使打不了杰斯顿，认真的吗[笑哭][笑哭][笑哭],1,202506-25 21:45:40,0
265612235713,阿秋和他的剑,别笑，你也鹿不了第二罐[笑哭],0,202506-25 21:45:24,0
266687029728,嘉然今天吃紫丹,看见啥，点开就是啥,0,202506-25 21:44:22,0
265612003969,旧月落天新阳升,@小白云玩游戏 靠你了，小白云。,0,202506-25 21:40:51,0
265611837537,我说国旻你说甜,我的都是真人发的 我和我好友要笑死了 我也发了一个,0,202506-25 21:40:38,0
265609929393,东77打球硬,别笑，你也鹿不了第二管[笑哭],0,202506-25 21:20:08,0
265609762033,陈忆mvm,我朋友圈人太少了[思考],0,202506-25 21:17:47,0
265609290033,深海之潜龙,说起来是真的诡异，虽然朋友圈经常会推送小程序游戏，但是突然有一天有一条小程序游戏的朋友圈，一堆人在下面评论[笑哭][笑哭][笑哭],1,202506-25 21:13:03,0
266684015856,路过美术生,别笑，你也录不了第二管[笑哭],0,202506-25 21:12:18,0
266683595584,草莓小熊饼干ccc,别笑，你也路不了第二关[微笑],1,202506-25 21:09:01,0
265608280113,一个玻璃片,这脚看得我心发慌,0,202506-25 21:02:39,0
265608274017,世间人都不要我,你用花招把我骗进来了[笑哭],0,202506-25 21:02:26,0
265613660801,今生今世解毒剂,知道为什么过不了第二关吗，因为第二关是东北雨姐大汉脚，英雄难过美人关,0,202506-25 21:59:47,265608274017
266682625648,四字字四,最开始我也以为是自己发的，结果有一次我看到我自己小号发了，我那号都n久没上了，这个能不能投诉？,3,202506-25 20:58:19,0
265607380017,青竹山居士,那个连字游戏看起来好像还挺好玩,0,202506-25 20:52:32,0
266681690224,哲人还手帕,别笑，你笑你也过不了第二关[笑哭],0,202506-25 20:46:20,0
265605593153,系统回收站,广告商当年投胎的时候也没过第二关，导致他现在还是出生[喜欢],4,202506-25 20:34:02,0
266680159456,一个一个先辈-,带派不,0,202506-25 20:31:31,0
266680253504,断网白井,脚底搞螺脚底搞螺丝，这个看的有点密恐了[大哭],0,202506-25 20:31:27,0
266680194032,断网白井,脚底搞螺脚底搞螺丝，这个看的有点密恐了[大哭],0,202506-25 20:31:27,0
266679409392,STAR_OMG,别笑，你也撸不了第二关管,1,202506-25 20:22:54,0
266678515968,做人要有点man,羊了个羊,0,202506-25 20:13:44,0
266678455744,小尼咪咪,[笑哭],0,202506-25 20:13:34,0
266677970640,JYAJIMEDO,是时候拿出这张图了,0,202506-25 20:08:39,0
265602130577,我用5秒时间欧拉你,别笑，你试过也无法通关第二关[笑哭],0,202506-25 19:55:43,0
265601500625,Craaaaaaaaaab,卧槽bgm胭脂阿！,0,202506-25 19:48:20,0
265601451617,直线爆破零崎啟识,解决方法很简单，就是打开青少年模式，后续就不会推送任何广告，不过小程序使用会有点麻烦,0,202506-25 19:46:42,0
265601256769,朱古力曲奇,本来我不看朋友圈的，直到我的朋友圈出现了这个广告[笑哭],6,202506-25 19:45:31,0
265601174929,星月与天空,别笑，你也🦌不了第二管[笑哭],0,202506-25 19:45:26,0
266675085920,曐氲,本来就是无解的,0,202506-25 19:37:28,0
266674607984,高調的沉默,别笑，笑你也炸不了体育场[笑哭],0,202506-25 19:32:48,0
265598787969,yyswys111,别笑，你试你也过不了第二关[笑哭],0,202506-25 19:20:16,0
266673189856,银桑赐我一个昵称吧,白云大帝来了全鲨了,0,202506-25 19:19:28,0
265598405121,晓北壮壮2,羊了个羊很久以前还真做了一个，我还玩了很久,0,202506-25 19:14:53,0
265597824561,Psygroo,别笑，你试你也录不了第二关[笑哭],0,202506-25 19:09:41,0
265596952129,zzzzdfsfa,过不了？还是广告看少了[doge],1,202506-25 19:01:06,0
265594998273,MC坎小六老手另类,别笑，你试你也过不了第二关[捂脸],0,202506-25 18:40:22,0
265594050385,Mikufans金钰二二,没绷住哈哈哈,1,202506-25 18:30:40,0
265594088513,早濑优香の老公,[笑哭][笑哭]关二第了不过也你，笑别,1,202506-25 18:29:26,0
265593806001,早濑优香の老公,[笑哭][笑哭]笑二第，了不关也你过别,0,202506-25 18:28:00,0
265593590833,bili_45970582956,[吃瓜],0,202506-25 18:26:14,0
265593373041,山善善善,🌧,0,202506-25 18:21:49,0
265592596833,夜曲-serenade,这已经不是一把糯米能解决的事了[微笑],1,202506-25 18:14:43,0
266666003424,酸橙子QwQ,看看我的[笑哭][doge],1,202506-25 18:04:04,0
266669652720,7水沐,BYD我朋友圈也这样,1,202506-25 18:42:43,266666003424
265591611105,自谧,别笑，你也卢不了第二关[笑哭],0,202506-25 18:03:31,0
265591505825,-店员,下次讲历史捕鱼广告吧[doge_金箍],0,202506-25 18:03:08,0
265589048433,歪歪扭扭的14号线,"拆螺丝×
鹅螺丝√",0,202506-25 17:34:10,0
266686990064,九万个不知道,拆折,0,202506-25 21:43:07,265589048433
266660068160,累透鸽儿,笑死，朋友圈刚刚发生过[笑哭],0,202506-25 16:55:35,0
265584120449,不当现场怪,应该有真的吧，我好友里好多卖螺丝的，看回复的那些 好多是卖螺丝的,0,202506-25 16:32:01,0
265583795569,虚空受受子,太带派了,1,202506-25 16:27:14,0
266657929120,抓到你了w,我也刷到了[喜极而泣][喜极而泣],0,202506-25 16:25:59,0
266657155776,ANTI-安泰焕,别笑，一个广告把我小学，初中，高中，大学，还有玩游戏认识的朋友都给吸引过来了[笑哭],2,202506-25 16:15:41,0
266656053408,无畏契约囯服,别笑，你试你也🦌不了第二关,0,202506-25 16:01:34,0
265579919777,小肠常,我玩过[笑哭],1,202506-25 15:32:27,0
266654003232,海魂san,乐,0,202506-25 15:30:54,0
265579033937,NM-柠安,@-X-LINE @19940720_ 别笑，你也过不了第二关,0,202506-25 15:20:25,0
266652941472,旭哥真好,[辣眼睛],2,202506-25 15:16:46,0
266675877536,丝之烤乳歌,那很有节目效果了[笑哭],0,202506-25 19:46:23,266652941472
265578804657,中枢栖姬,密恐福利[Mygo表情包_Love][Mygo表情包_Love],0,202506-25 15:13:53,0
266652216624,12808280034_bili,[tv_冷漠],1,202506-25 15:07:03,0
266652268784,篁舞,"【菜鸟驿站】您有十个马嘉祺已经到达菜鸟驿站等待和你舌吻，请凭取件13-14-5200在23点前尽早取件【超绝马嘉祺待领取】内存不够用，马嘉祺来扩容!1478超大自行车，照片视频随便存。马嘉祺高速运转,自动保存,安全又可靠。",3,202506-25 15:06:43,0
265577292545,曦合月霜,没人在意杀软广告获取好友列表吗,83,202506-25 14:52:07,0
266670498304,降噪闹钟,我是自己发的[笑哭]，我感觉别人估计也是吧,0,202506-25 18:49:31,265577292545
265606967377,阳光的殇胤,还真的不是，有的是真的自己在下面发的,2,202506-25 20:47:32,265577292545
265577127553,箓逸,太带派了[笑哭],1,202506-25 14:48:38,0
265575897969,忆往昔丶旧忆,@4_xxxx_4,0,202506-25 14:32:28,0
265576398593,4_xxxx_4,入机,0,202506-25 14:40:40,265575897969
265575581249,那颗从未抵达的星星,不是雨姐的脚我不玩，雨姐我好喜欢你啊，为了你我要听猫中毒,0,202506-25 14:27:25,0
265575574641,晓夜紫潭,别笑 你试你也过不了第二关,0,202506-25 14:27:08,0
266649194560,蛋仔名优优华强官方,别笑，你也过不了第2馆,0,202506-25 14:23:19,0
266648510688,小鹿乱创哦,😅,0,202506-25 14:12:35,0
266647758896,虢pour,[笑哭],0,202506-25 14:02:22,0
266647588608,赛畜七天墙,没看视频只打到15关[笑哭],0,202506-25 14:00:06,0
266647258656,必须要有耐心的多厨,"？最近的梗，越来越莫名其妙了[笑哭]
完完全全get不到笑点，只有不断的红温回忆[大哭]",0,202506-25 13:55:01,0
265572582241,红色蜥蜴重度依赖,谁懂当我作为一个ut党看到那张带派sanb的救赎感,1,202506-25 13:44:01,0
265572204753,渐变云雷,[笑哭][笑哭][笑哭]哈哈哈,0,202506-25 13:38:39,0
265572008513,是黎某a,昨天看到过,0,202506-25 13:35:08,0
265571138753,十指若曦,和明日方舟有个毛的关系,1,202506-25 13:24:45,0
266649551008,名字越长越有人跟着念,舟吧老哥[doge_金箍],1,202506-25 14:26:58,265571138753
266649489552,名字越长越有人跟着念,明日方舟吧的优秀传统[doge_金箍],0,202506-25 14:27:21,265571138753
